x-axis,1,2,3
second,Volt,Volt,Volt
-11.8500E-06,+750.0000000E-03,+12.4999993E-03,-1.3249998093E+00
-11.8400E-06,+750.0000000E-03,+12.4999993E-03,-1.3249998093E+00
-11.8300E-06,+750.0000000E-03,-18.7500007E-03,-1.3874998093E+00
-11.8200E-06,+750.0000000E-03,-81.2500007E-03,-1.3874998093E+00
-11.8100E-06,+750.0000000E-03,-143.7500007E-03,-1.3874998093E+00
-11.8000E-06,+1.3750000000E+00,-143.7500007E-03,-1.3874998093E+00
-11.7900E-06,+750.0000000E-03,-143.7500007E-03,-1.3874998093E+00
-11.7800E-06,+1.3750000000E+00,-112.5000007E-03,-1.3874998093E+00
-11.7700E-06,+750.0000000E-03,-112.5000007E-03,-1.3249998093E+00
-11.7600E-06,+1.3750000000E+00,-18.7500007E-03,-1.3874998093E+00
-11.7500E-06,+750.0000000E-03,-18.7500007E-03,-1.3874998093E+00
-11.7400E-06,+750.0000000E-03,-81.2500007E-03,-1.3249998093E+00
-11.7300E-06,+1.3750000000E+00,-112.5000007E-03,-1.3249998093E+00
-11.7200E-06,+750.0000000E-03,-143.7500007E-03,-1.3874998093E+00
-11.7100E-06,+750.0000000E-03,-175.0000007E-03,-1.3874998093E+00
-11.7000E-06,+750.0000000E-03,-175.0000007E-03,-1.4499998093E+00
-11.6900E-06,+750.0000000E-03,-175.0000007E-03,-1.3874998093E+00
-11.6800E-06,+750.0000000E-03,-18.7500007E-03,-1.3249998093E+00
-11.6700E-06,+750.0000000E-03,-50.0000007E-03,-1.3874998093E+00
-11.6600E-06,+1.3750000000E+00,-18.7500007E-03,-1.4499998093E+00
-11.6500E-06,+750.0000000E-03,+12.4999993E-03,-1.3874998093E+00
-11.6400E-06,+750.0000000E-03,-50.0000007E-03,-1.3249998093E+00
-11.6300E-06,+750.0000000E-03,-50.0000007E-03,-1.3874998093E+00
-11.6200E-06,+1.3750000000E+00,-143.7500007E-03,-1.3249998093E+00
-11.6100E-06,+750.0000000E-03,-206.2500007E-03,-1.3874998093E+00
-11.6000E-06,+1.3750000000E+00,-143.7500007E-03,-1.3874998093E+00
-11.5900E-06,+750.0000000E-03,-143.7500007E-03,-1.3874998093E+00
-11.5800E-06,+750.0000000E-03,-112.5000007E-03,-1.4499998093E+00
-11.5700E-06,+750.0000000E-03,-112.5000007E-03,-1.3874998093E+00
-11.5600E-06,+1.3750000000E+00,-81.2500007E-03,-1.3874998093E+00
-11.5500E-06,+750.0000000E-03,-81.2500007E-03,-1.3874998093E+00
-11.5400E-06,+750.0000000E-03,-81.2500007E-03,-1.4499998093E+00
-11.5300E-06,+1.3750000000E+00,-175.0000007E-03,-1.4499998093E+00
-11.5200E-06,+1.3750000000E+00,-112.5000007E-03,-1.3874998093E+00
-11.5100E-06,+1.3750000000E+00,-81.2500007E-03,-1.3874998093E+00
-11.5000E-06,+750.0000000E-03,-81.2500007E-03,-1.4499998093E+00
-11.4900E-06,+750.0000000E-03,-18.7500007E-03,-1.3874998093E+00
-11.4800E-06,+1.3750000000E+00,+12.4999993E-03,-1.3249998093E+00
-11.4700E-06,+1.3750000000E+00,+12.4999993E-03,-1.4499998093E+00
-11.4600E-06,+750.0000000E-03,+12.4999993E-03,-1.3874998093E+00
-11.4500E-06,+750.0000000E-03,-18.7500007E-03,-1.3874998093E+00
-11.4400E-06,+1.3750000000E+00,-50.0000007E-03,-1.3874998093E+00
-11.4300E-06,+750.0000000E-03,-112.5000007E-03,-1.4499998093E+00
-11.4200E-06,+750.0000000E-03,-112.5000007E-03,-1.3874998093E+00
-11.4100E-06,+750.0000000E-03,-143.7500007E-03,-1.3874998093E+00
-11.4000E-06,+1.3750000000E+00,-112.5000007E-03,-1.3874998093E+00
-11.3900E-06,+750.0000000E-03,-81.2500007E-03,-1.3874998093E+00
-11.3800E-06,+750.0000000E-03,-81.2500007E-03,-1.4499998093E+00
-11.3700E-06,+1.3750000000E+00,-50.0000007E-03,-1.4499998093E+00
-11.3600E-06,+1.3750000000E+00,-112.5000007E-03,-1.3874998093E+00
-11.3500E-06,+750.0000000E-03,-112.5000007E-03,-1.4499998093E+00
-11.3400E-06,+1.3750000000E+00,-112.5000007E-03,-1.3874998093E+00
-11.3300E-06,+750.0000000E-03,-81.2500007E-03,-1.3874998093E+00
-11.3200E-06,+1.3750000000E+00,-50.0000007E-03,-1.3874998093E+00
-11.3100E-06,+750.0000000E-03,-18.7500007E-03,-1.4499998093E+00
-11.3000E-06,+750.0000000E-03,+74.9999993E-03,-1.4499998093E+00
-11.2900E-06,+1.3750000000E+00,+43.7499993E-03,-1.3874998093E+00
-11.2800E-06,+1.3750000000E+00,+43.7499993E-03,-1.4499998093E+00
-11.2700E-06,+750.0000000E-03,-18.7500007E-03,-1.3874998093E+00
-11.2600E-06,+1.3750000000E+00,-112.5000007E-03,-1.4499998093E+00
-11.2500E-06,+750.0000000E-03,-175.0000007E-03,-1.3874998093E+00
-11.2400E-06,+125.0000000E-03,-143.7500007E-03,-1.3874998093E+00
-11.2300E-06,+750.0000000E-03,-143.7500007E-03,-1.4499998093E+00
-11.2200E-06,+750.0000000E-03,-143.7500007E-03,-1.4499998093E+00
-11.2100E-06,+125.0000000E-03,-50.0000007E-03,-1.3874998093E+00
-11.2000E-06,+1.3750000000E+00,-18.7500007E-03,-1.3874998093E+00
-11.1900E-06,+750.0000000E-03,+12.4999993E-03,-1.3874998093E+00
-11.1800E-06,+750.0000000E-03,-18.7500007E-03,-1.4499998093E+00
-11.1700E-06,+750.0000000E-03,-18.7500007E-03,-1.4499998093E+00
-11.1600E-06,+1.3750000000E+00,-81.2500007E-03,-1.3874998093E+00
-11.1500E-06,+1.3750000000E+00,-81.2500007E-03,-1.4499998093E+00
-11.1400E-06,+750.0000000E-03,-81.2500007E-03,-1.3874998093E+00
-11.1300E-06,+750.0000000E-03,-50.0000007E-03,-1.3874998093E+00
-11.1200E-06,+1.3750000000E+00,-18.7500007E-03,-1.3874998093E+00
-11.1100E-06,+750.0000000E-03,+43.7499993E-03,-1.4499998093E+00
-11.1000E-06,+1.3750000000E+00,+74.9999993E-03,-1.4499998093E+00
-11.0900E-06,+750.0000000E-03,+43.7499993E-03,-1.4499998093E+00
-11.0800E-06,+1.3750000000E+00,-50.0000007E-03,-1.3874998093E+00
-11.0700E-06,+750.0000000E-03,-50.0000007E-03,-1.4499998093E+00
-11.0600E-06,+750.0000000E-03,-112.5000007E-03,-1.4499998093E+00
-11.0500E-06,+1.3750000000E+00,-112.5000007E-03,-1.3874998093E+00
-11.0400E-06,+1.3750000000E+00,-81.2500007E-03,-1.4499998093E+00
-11.0300E-06,+750.0000000E-03,-81.2500007E-03,-1.3874998093E+00
-11.0200E-06,+750.0000000E-03,-50.0000007E-03,-1.4499998093E+00
-11.0100E-06,+750.0000000E-03,+12.4999993E-03,-1.3874998093E+00
-11.0000E-06,+1.3750000000E+00,-18.7500007E-03,-1.3874998093E+00
-10.9900E-06,+750.0000000E-03,-18.7500007E-03,-1.4499998093E+00
-10.9800E-06,+1.3750000000E+00,-50.0000007E-03,-1.4499998093E+00
-10.9700E-06,+1.3750000000E+00,-81.2500007E-03,-1.3874998093E+00
-10.9600E-06,+1.3750000000E+00,-81.2500007E-03,-1.3874998093E+00
-10.9500E-06,+750.0000000E-03,-50.0000007E-03,-1.3874998093E+00
-10.9400E-06,+1.3750000000E+00,-18.7500007E-03,-1.4499998093E+00
-10.9300E-06,+750.0000000E-03,+43.7499993E-03,-1.4499998093E+00
-10.9200E-06,+1.3750000000E+00,+12.4999993E-03,-1.3874998093E+00
-10.9100E-06,+750.0000000E-03,+43.7499993E-03,-1.4499998093E+00
